Content ID,Subject,Difficulty,Learning Type,Name,Price (€)
1,GCP,Intermediate,Video,Intermediate Video on GCP,140
2,C++,Intermediate,Self-paced Course,Intermediate Self-paced Course on C++,150
3,Risk Management,Intermediate,Self-paced Course,Intermediate Self-paced Course on Risk Management,90
4,Scrum,Expert,Workshop,Expert Workshop on Scrum,450
5,Git,Basic,Interactive Session,Basic Interactive Session on Git,140
6,Budgeting,Expert,Lecture,Expert Lecture on Budgeting,410
7,SQL,Advanced,Self-paced Course,Advanced Self-paced Course on SQL,220
8,Machine Learning,Advanced,Lecture,Advanced Lecture on Machine Learning,270
9,Risk Management,Advanced,Self-paced Course,Advanced Self-paced Course on Risk Management,270
10,Statistics,Master,E-Learning,Master E-Learning on Statistics,410
11,GCP,Master,Workshop,Master Workshop on GCP,600
12,Agile,Intermediate,Webinar,Intermediate Webinar on Agile,170
13,Python,Basic,Lecture,Basic Lecture on Python,70
14,Machine Learning,Master,Lecture,Master Lecture on Machine Learning,450
15,Agile,Advanced,Physical Training,Advanced Physical Training on Agile,330
16,Python,Intermediate,Book,Intermediate Book on Python,170
17,C++,Master,Workshop,Master Workshop on C++,530
18,SQL,Master,Online Course,Master Online Course on SQL,370
19,C++,Advanced,Physical Training,Advanced Physical Training on C++,290
20,Git,Basic,Self-paced Course,Basic Self-paced Course on Git,70
21,Python,Expert,Video,Expert Video on Python,390
22,Statistics,Intermediate,Workshop,Intermediate Workshop on Statistics,180
23,Cybersecurity,Master,Online Course,Master Online Course on Cybersecurity,370
24,Python,Master,Book,Master Book on Python,450
25,SQL,Basic,Webinar,Basic Webinar on SQL,60
26,Scrum,Master,Webinar,Master Webinar on Scrum,480
27,GCP,Advanced,Workshop,Advanced Workshop on GCP,240
28,Statistics,Expert,Video,Expert Video on Statistics,350
29,AWS,Basic,Webinar,Basic Webinar on AWS,60
30,Budgeting,Intermediate,Online Course,Intermediate Online Course on Budgeting,140
31,C++,Master,Webinar,Master Webinar on C++,420
32,Budgeting,Basic,Online Course,Basic Online Course on Budgeting,40
33,Agile,Advanced,Interactive Session,Advanced Interactive Session on Agile,440
34,Machine Learning,Expert,Online Course,Expert Online Course on Machine Learning,350
35,Agile,Advanced,Lecture,Advanced Lecture on Agile,220
36,GCP,Basic,Workshop,Basic Workshop on GCP,70
37,Statistics,Basic,Lecture,Basic Lecture on Statistics,90
38,Git,Expert,Interactive Session,Expert Interactive Session on Git,520
39,Scrum,Expert,Self-paced Course,Expert Self-paced Course on Scrum,320
40,Game Development,Intermediate,Lecture,Intermediate Lecture on Game Development,170
41,SQL,Basic,Self-paced Course,Basic Self-paced Course on SQL,60
42,Agile,Basic,E-Learning,Basic E-Learning on Agile,80
43,Risk Management,Basic,Online Course,Basic Online Course on Risk Management,70
44,Game Development,Master,Lecture,Master Lecture on Game Development,510
45,Cybersecurity,Intermediate,Lecture,Intermediate Lecture on Cybersecurity,190
46,Game Development,Master,Online Course,Master Online Course on Game Development,410
47,Python,Intermediate,Interactive Session,Intermediate Interactive Session on Python,210
48,Machine Learning,Master,Lecture,Master Lecture on Machine Learning,500
49,Risk Management,Advanced,Workshop,Advanced Workshop on Risk Management,270
50,Statistics,Basic,Workshop,Basic Workshop on Statistics,110
51,Scrum,Basic,Video,Basic Video on Scrum,60
52,Scrum,Advanced,Book,Advanced Book on Scrum,290
53,Game Development,Advanced,Interactive Session,Advanced Interactive Session on Game Development,340
54,Risk Management,Expert,Interactive Session,Expert Interactive Session on Risk Management,460
55,C++,Advanced,Online Course,Advanced Online Course on C++,190
56,Risk Management,Intermediate,Interactive Session,Intermediate Interactive Session on Risk Management,280
57,SQL,Intermediate,Physical Training,Intermediate Physical Training on SQL,190
58,Game Development,Advanced,Webinar,Advanced Webinar on Game Development,220
59,Cybersecurity,Advanced,Book,Advanced Book on Cybersecurity,230
60,Game Development,Expert,Interactive Session,Expert Interactive Session on Game Development,550
61,Scrum,Basic,Interactive Session,Basic Interactive Session on Scrum,120
62,Machine Learning,Master,Interactive Session,Master Interactive Session on Machine Learning,670
63,Cybersecurity,Advanced,Online Course,Advanced Online Course on Cybersecurity,240
64,Python,Intermediate,Interactive Session,Intermediate Interactive Session on Python,220
65,Cybersecurity,Basic,Video,Basic Video on Cybersecurity,80
66,Machine Learning,Expert,Workshop,Expert Workshop on Machine Learning,370
67,Game Development,Intermediate,Book,Intermediate Book on Game Development,140
68,Risk Management,Expert,Workshop,Expert Workshop on Risk Management,370
69,Azure,Master,Interactive Session,Master Interactive Session on Azure,680
70,Machine Learning,Advanced,Physical Training,Advanced Physical Training on Machine Learning,270
71,SQL,Advanced,Self-paced Course,Advanced Self-paced Course on SQL,190
72,Scrum,Advanced,Online Course,Advanced Online Course on Scrum,230
73,Statistics,Advanced,Self-paced Course,Advanced Self-paced Course on Statistics,200
74,SQL,Advanced,Self-paced Course,Advanced Self-paced Course on SQL,200
75,AWS,Advanced,Lecture,Advanced Lecture on AWS,300
76,Cybersecurity,Advanced,Physical Training,Advanced Physical Training on Cybersecurity,360
77,Statistics,Expert,Interactive Session,Expert Interactive Session on Statistics,530
78,Budgeting,Intermediate,Workshop,Intermediate Workshop on Budgeting,200
79,Machine Learning,Advanced,Workshop,Advanced Workshop on Machine Learning,310
80,Leadership,Advanced,Interactive Session,Advanced Interactive Session on Leadership,450
81,Git,Expert,Lecture,Expert Lecture on Git,360
82,Risk Management,Advanced,Workshop,Advanced Workshop on Risk Management,290
83,Python,Master,Video,Master Video on Python,470
84,Python,Basic,Interactive Session,Basic Interactive Session on Python,90
85,Python,Expert,Lecture,Expert Lecture on Python,390
86,AWS,Advanced,Interactive Session,Advanced Interactive Session on AWS,340
87,Cybersecurity,Intermediate,Workshop,Intermediate Workshop on Cybersecurity,170
